id,timein,timeout
6099,2017-09-29 15:10:33.491268,2017-09-29 17:44:15.796621
0115,2017-09-29 15:10:36.809798,2017-09-29 17:47:09.347473
0338,2017-09-29 15:10:40.364188, 
0246,2017-09-29 15:10:42.926592, 
2184,2017-09-29 15:10:45.222855,2017-09-29 16:57:57.693442
0644,2017-09-29 15:10:47.907247,2017-09-29 16:56:43.683744
8384,2017-09-29 15:10:52.385777, 
9002,2017-09-29 15:11:08.889906,2017-09-29 17:44:43.778363
7409,2017-09-29 15:11:10.922142, 
9528,2017-09-29 15:11:27.068301,2017-09-29 17:46:18.800855
7196,2017-09-29 15:11:31.625149, 
5051,2017-09-29 15:25:11.298926, 
7527,2017-09-29 15:25:34.665905,2017-09-29 17:17:15.044788
6467,2017-09-29 15:28:36.717432, 
8481,2017-09-29 15:52:43.463064, 
5900,2017-09-29 20:29:58.585267,2017-09-29 20:30:11.319124
5900,2017-09-29 20:30:30.723265,2017-09-29 20:30:54.924641
6244,2017-09-29 22:02:32.171204, 
0702,2017-10-01 09:38:06.069756, 
0376,2017-10-01 22:52:32.163864, 
5739,2017-10-02 07:04:48.941794, 
1024,2017-10-02 12:30:10.731562, 
1001,2017-10-02 12:30:23.769416, 
6099,2017-10-02 15:07:25.178864,2017-10-02 17:32:38.624806
0047,2017-10-02 15:07:34.618104,2017-10-02 17:55:15.218528
8384,2017-10-02 15:08:10.982898,2017-10-02 17:14:37.562088
7409,2017-10-02 15:08:54.978665, 
5051,2017-10-02 15:09:11.634849,2017-10-02 16:35:11.887361
7527,2017-10-02 15:10:34.941586,2017-10-02 16:38:57.406830
6621,2017-10-02 15:12:40.688165, 
7075,2017-10-02 15:13:00.962705,2017-10-02 16:58:54.583147
0989,2017-10-02 15:13:36.039355,2017-10-02 16:35:00.813923
8481,2017-10-02 15:19:20.730227,2017-10-02 17:02:26.326835
6502,2017-10-02 15:28:04.504841, 
6467,2017-10-02 15:30:48.540332,2017-10-02 17:02:16.103434
2184,2017-10-02 15:43:17.262180, 
8299,2017-10-03 19:18:52.908627, 
6579,2017-10-04 01:57:08.855603, 
2184,2017-10-04 15:07:18.356347,2017-10-04 17:11:37.967785
8481,2017-10-04 15:07:22.662841,2017-10-04 17:09:45.655018
1198,2017-10-04 15:07:24.505010, 
7075,2017-10-04 15:07:27.539463,2017-10-04 17:18:02.281868
0047,2017-10-04 15:08:02.968052,2017-10-04 17:05:49.606225
6099,2017-10-04 15:08:15.871776,2017-10-04 17:24:47.351005
8384,2017-10-04 15:08:28.277323,2017-10-04 17:11:21.639585
1312,2017-10-04 15:08:29.587538,2017-10-04 17:02:03.034401
0338,2017-10-04 15:08:33.896074, 
2395,2017-10-04 15:08:36.304341,2017-10-04 17:35:35.407501
0115,2017-10-04 15:08:38.992718,2017-10-04 17:31:46.579715
7409,2017-10-04 15:08:41.286898, 
0644,2017-10-04 15:08:47.287839,2017-10-04 17:16:00.283962
7624,2017-10-04 15:09:18.143774, 
7527,2017-10-04 15:09:22.262450,2017-10-04 17:26:59.766207
7196,2017-10-04 15:09:27.020882, 
0989,2017-10-04 15:13:17.090675, 
5051,2017-10-04 15:14:34.953025, 
3896,2017-10-04 18:18:51.563035, 
3996,2017-10-04 18:44:30.777026, 
0120,2017-10-06 04:08:46.991707, 
0201,2017-10-06 09:24:15.851037,2017-10-06 09:24:21.169731
0201,2017-10-06 09:24:43.838553, 
1110,2017-10-06 12:51:23.049131,2017-10-06 12:58:56.960182
8481,2017-10-06 15:02:00.252713,2017-10-06 15:02:17.123137
0047,2017-10-06 15:02:05.727273,2017-10-06 17:52:03.590294
8481,2017-10-06 15:02:19.254995,2017-10-06 18:43:12.594403
